playlist_title,video_id,title,views,likes,comments,published_at,duration
PODPAH EM PARIS,wZG_2ka-h2M,O QUE TÁ ACONTECENDO EM PARIS? - PODPAH EM PARIS #06,450921,17906,24,2024-07-30T23:03:37Z,PT56M38S
PODPAH EM PARIS,Jlk26kYmXdE,EM BUSCA DA MONALISA ft. FRED BRUNO - PODPAH EM PARIS #05,102379,4776,15,2024-07-29T23:11:30Z,PT1H2M38S
PODPAH EM PARIS,brZ17-iIn7s,PODPAH EM PARIS - #04,202513,8081,23,2024-07-28T23:18:17Z,PT1H8M53S
PODPAH EM PARIS,pfnOkgxQopg,PODPAH EM PARIS - #03,217478,8342,21,2024-07-27T23:12:21Z,PT1H3M23S
PODPAH EM PARIS,1G6GIlkGCbQ,ABERTURA DOS JOGOS & ASSALTARAM O ZICO 😱 - PODPAH EM PARIS - #02,236279,9774,31,2024-07-26T23:12:17Z,PT1H2M
PODPAH EM PARIS,5Iir-DDNg9s,"FÁTIMA BERNARDES ENSINA COMO DAR O ""BOA NOITE"" PERFEITO - PODPAH EM PARIS - #01",316813,18523,54,2024-07-25T23:42:10Z,PT1H32M13S
QUERIDO DIÁRIO,S19DXb68yXQ,FIZEMOS UMA LIVE HISTÓRICA NA BLACK FRIDAY - QUERIDO DIÁRIO com PRISCILA EVELLYN #22,14063,682,12,2024-12-05T15:43:01Z,PT39M21S
QUERIDO DIÁRIO,RMyjFhFlbIc,FALEI A REAL SOBRE A NOVA HAMBURGUERIA DO PODPAH - QUERIDO DIÁRIO com PRISCILA EVELLYN #21,51255,2325,22,2024-11-28T15:53:50Z,PT49M6S
QUERIDO DIÁRIO,s4xbvq2r8u4,E ASSIM FOI MEU ENCONTRO COM O BRUNINHO - QUERIDO DIÁRIO com PRISCILA EVELLYN #20,37686,1731,30,2024-11-14T15:54:09Z,PT50M20S
QUERIDO DIÁRIO,sTg8aykRXYM,MC TUTO FALOU A REAL DA NOSSA TREND COM A MÚSICA DELE - QUERIDO DIÁRIO com PRISCILA EVELLYN #19,72675,3458,62,2024-11-07T15:53:59Z,PT50M30S
QUERIDO DIÁRIO,n8fL2KXuRSY,PROVANDO OS MELHORES DRINKS DE SÃO PAULO - QUERIDO DIÁRIO com PRISCILA EVELLYN #18,45912,2313,56,2024-10-31T15:42:04Z,PT38M55S
QUERIDO DIÁRIO,qKHKcLGhF5E,VOCÊ NÃO VAI ACREDITAR NO QUE ACONTECEU NA PODPARTY - QUERIDO DIÁRIO com PRISCILA EVELLYN #17,87844,4306,85,2024-10-24T15:53:18Z,PT49M40S
QUERIDO DIÁRIO,8BSslpkGe8I,BAILE DE HALLOWEEN + UMA SALA DE CINEMA SÓ PRA MIM - QUERIDO DIÁRIO com PRISCILA EVELLYN #16,46850,2497,34,2024-10-17T15:55:42Z,PT52M26S
QUERIDO DIÁRIO,SXix01G-ISM,TESTANDO FINALIZAÇÕES POLÊMICAS NOS MEUS CACHOS - QUERIDO DIÁRIO com PRISCILA EVELLYN #15,40664,2289,35,2024-10-10T15:47:05Z,PT44M5S
