video_id,comment_text,like_count
-rYdWF9Ky2U,"Brino: Peraê, porra!",3
-rYdWF9Ky2U,Blue pen é Ligeiro,1
-rYdWF9Ky2U,😂😂😂😂😂😂😂😂 mano melhor programa😂,0
-rYdWF9Ky2U,Tettrem no pod paqueraaaaaaaaaa,0
-rYdWF9Ky2U,4:58,0
-rYdWF9Ky2U,Faltou o defante aiii leva eleee,0
-rYdWF9Ky2U,Brino dançando forró 😂😂,2
-rYdWF9Ky2U,"Fazia tempo que eu não ria tanto com um vídeo, PQP! hahahahaha",0
-rYdWF9Ky2U,Esse vídeo derreteu uma parte do meu cérebro,7
-rYdWF9Ky2U,Manoel Gomes obrigado por existir,3
-rYdWF9Ky2U,Top1 😂,0
-rYdWF9Ky2U,Hauahuhahahahaha melhor de todos os episódios!!,0
-rYdWF9Ky2U,Vocês são uma arriada hauzbH😂ahsuhzbzz b,0
-rYdWF9Ky2U,"Cr nunca assisti esses bglh de paquera por mais de 10 minutos, mas esse ficou tão bom que assisti as 1hr sem nem me importar hahahahahha mt bom😂😂😂😂😂😂😂😂",43
-rYdWF9Ky2U,"Mais um hit do mestre ""Coladinho, coladinho...""",0
-rYdWF9Ky2U,Eu tô passando mal 😂😂😂😂😂,0
-rYdWF9Ky2U,"""Raquel hackeou meu coração"" nova música do montro Manel Gomes 😂😂😂😂",30
-rYdWF9Ky2U,Kkk o melhor vídeo ❤🎉,0
-rYdWF9Ky2U,Na moral eu rir muitooo sério 😂,0
-rYdWF9Ky2U,fechar os zoi,0
-rYdWF9Ky2U,MUITO BOM VELHO,0
-rYdWF9Ky2U,tata estilosa dms,0
-rYdWF9Ky2U,Pura entretenimento 😅😅😅,0
-rYdWF9Ky2U,Tmnc que vídeo bom 😂😂😂😂 a briga de travesseiro 🤣🤣🤣🤣,0
-rYdWF9Ky2U,"Morri de rir, serio muito bom",0
-rYdWF9Ky2U,PQP 😂😂😂😂😂,0
-rYdWF9Ky2U,Slk racharia pura 😂😂😂😂😂😂😂😂,0
-rYdWF9Ky2U,😂😂😂😂😂😂😂😂 esse cara me mata,0
-rYdWF9Ky2U,Pqp man. 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0
-rYdWF9Ky2U,😂😂😂😂😂😂😂😂😂,0
-rYdWF9Ky2U,Julio balestrin,0
-rYdWF9Ky2U,"Melhor vídeo do Brasil, disparado 😂😂😂😂",1
-rYdWF9Ky2U,Tiringa no pod paquera,0
-rYdWF9Ky2U,Queremos Orochi,2
-rYdWF9Ky2U,Orochi,0
-rYdWF9Ky2U,JULIO BALESTRINE NO PROXIMO,0
-rYdWF9Ky2U,CAUE MOURA no podpaquera,0
-rYdWF9Ky2U,Melhor ep de todos,0
-rYdWF9Ky2U,Joãozinho VT no pod paquera!!!!!!!!,0
-rYdWF9Ky2U,Hahahahahaah top,0
-rYdWF9Ky2U,Manuel gomes é casado 😂😂😂😂😂,0
-rYdWF9Ky2U,"Um salve da nossa BANCA

fabrio 
lil 
gustavo limo 
Murillo 
zchacal 
jack 
bruce 
Neves 
hiro 
avn
dente 
dog
cristiano 

BRABO manoel 
fera nas ideia
ao brino",0
-rYdWF9Ky2U,😂😂😂,0
-rYdWF9Ky2U,tadinha da caminhoneira,0
-rYdWF9Ky2U,podia ter um desse todo diaa,0
-rYdWF9Ky2U,"na hora, tranquilo",0
-rYdWF9Ky2U,esse video parece que eu tive 40° de febre e tive um sonho muito do doido,1
-rYdWF9Ky2U,Essa candidata 7... que mulher. Socorro. Maravilhosa,13
-rYdWF9Ky2U,mc  negao original,0
-rYdWF9Ky2U,Tendi uma palavra q ele tava flnd 😂😂😂😂😂,0
-rYdWF9Ky2U,Kakakakakkakakakakkakakakakakkakakakkakakakakakkakaka,0
-rYdWF9Ky2U,Meu Deus do ceu oq aconteceu aqui KAKAKAKAKAKAKAKAKAK,0
-rYdWF9Ky2U,😂😂😂,0
-rYdWF9Ky2U,Isso dá não derruba nenhuma criança kkkkkkk 😂😂,0
-rYdWF9Ky2U,Lá ele vambora 😂,4
-rYdWF9Ky2U,"Ela dança forró 
Ela dança forró",0
-rYdWF9Ky2U,Não gostei prefiro a 8,0
-rYdWF9Ky2U,Tendi nd q ele falou mas amei,0
-rYdWF9Ky2U,Manoel Gomes é o ser mais abstrato que eu conheço,3
-rYdWF9Ky2U,muito bom,0
-rYdWF9Ky2U,Mas ele não tinha namorada ?,0
-rYdWF9Ky2U,Isso é uma obra prima do século xx1,1
-rYdWF9Ky2U,Melhor vídeo que eu já vi ksksksksks,0
-rYdWF9Ky2U,Júlio balestrin,0
-rYdWF9Ky2U,"🤣🤣🤣🤣🤣🤣🤣🤣 eu amei, Manoel não faça terapia nunca, por favor",8
-rYdWF9Ky2U,vídeo maravilhoso,0
-rYdWF9Ky2U,"Oq eu acabei de ver, irmão?",0
-rYdWF9Ky2U,"Muito bom 😂😂😂😂😂😂😂 , próximo participa (JULIO BALESTRINI)",0
-rYdWF9Ky2U,bizaro,0
-rYdWF9Ky2U,😂😅😅😅😅,1
-rYdWF9Ky2U,Mnnnnn ficou muito bommmm 😂😂😂,0
-rYdWF9Ky2U,De mulher pra mulher... Eu sou louco KAAKAKAKAKAKAAKAKAK,3
-rYdWF9Ky2U,"Combinação perfeita Brino e Manoel Gomes,é de dar muita risada😂",24
-rYdWF9Ky2U,Eu ri demaaaaaais,0
-rYdWF9Ky2U,Julio balestrin,0
-rYdWF9Ky2U,Brinoooooooo !!,0
-rYdWF9Ky2U,Vc gosta de dormi cedo😂?,0
-rYdWF9Ky2U,perguntar pra ela se é solteira e se quer tomar um refrigerante depois,0
-rYdWF9Ky2U,“Deixou de ser besta”😂,0
-rYdWF9Ky2U,"Queremos mulheres maduras em todos os ep, são bem mais divertidas que as novinhas",10
-rYdWF9Ky2U,julio balestrin tem q ir nisso,0
-rYdWF9Ky2U,( ͡° ͜ʖ ͡°),0
-rYdWF9Ky2U,"de mulher pra mulher, eu sou louco!",0
-rYdWF9Ky2U,"“Se for muié, é dentu”
- Manoel Gomes, 2024.",0
-rYdWF9Ky2U,q vídeo bom kkkkkkkkkkkkkkkwkw,0
-rYdWF9Ky2U,"""Gosta de dormir cedo?""""",1
-rYdWF9Ky2U,"Tiringa ai, seria bom em 😂",0
-rYdWF9Ky2U,Que agoniaaaaaaaaa,0
-rYdWF9Ky2U,"""De mulher pra mulher... EU SOU LOUCO!""",0
-rYdWF9Ky2U,Mn eu amei esse trio maumau brino e a Thaizoca😂😂😂😂,1
-rYdWF9Ky2U,1:04:54 😅😂😂😂😂😂😂to morrendo,7
-rYdWF9Ky2U,Se eu n tivesse casado vc era meu primeiro amor😂😂😂😂 muito boom essa parte,5
-rYdWF9Ky2U,@ da caminhoneira????,1
-rYdWF9Ky2U,Um dos melhores vídeos já feitos na história 😂😂😂😂,1
-rYdWF9Ky2U,Lança mais vídeo pfvr 😂😂😂😂,0
-rYdWF9Ky2U,Rapaz deu até falta de ar do tanto q eu ri 🤣🤣🤣🤣🤣,5
-rYdWF9Ky2U,Júlio balestrin por favorrrr !!!,0
-rYdWF9Ky2U,Mano imagina como é o processamento das coisas na cabeça do Manoel 😂😂😂😂,4
-rYdWF9Ky2U,Júlio Balestrin no PodPaquera 😂,0
-rYdWF9Ky2U,Caralho nunca ri tanto ksksksks,0
-rYdWF9Ky2U,Cara que video maravilhoso,4
-rYdWF9Ky2U,😂😂😂😂😂,0
-rYdWF9Ky2U,1:03:20 😂😂😂😂😂,4
