playlist_title,video_id,title,views,likes,comments,published_at,duration,thumbnail
QUEBRADA F.C.,beLe7gVCBUA,"JOGO DA VIDA PARA O CORINTHIANS, GABIGOL NO PALMEIRAS ft. BIRA E DANILO SOTO - QUEBRADA FC #69",31068,1664,24,2024-07-01T20:57:59Z,PT1H52M51S,https://i.ytimg.com/vi/beLe7gVCBUA/hqdefault.jpg
RANGO BRABO,aotzmxGzai8,AS HABILIDADES OCULTAS DE WESLEY ALEMÃO - Rango Brabo #101,368859,18192,152,2024-12-03T16:10:29Z,PT1H1M20S,https://i.ytimg.com/vi/aotzmxGzai8/hqdefault.jpg
RANGO BRABO,Smw_7UeXouc,O LANÇAMENTO DO RANGO BRABO BURGER FOI UM PESADELO - Rango Brabo  #100,230912,12387,97,2024-11-26T15:56:52Z,PT52M8S,https://i.ytimg.com/vi/Smw_7UeXouc/hqdefault.jpg
RANGO BRABO,sXNwGIEHpmA,NÓS SOMOS AQUELES CARAS E NO EPISÓDIO DE HOJE TRAUMATIZAMOS O CHICO (DE NOVO) #99,1321585,83747,472,2024-11-19T16:11:17Z,PT1H6M11S,https://i.ytimg.com/vi/sXNwGIEHpmA/hqdefault.jpg
RANGO BRABO,Da2OoLQJ96g,"WHINDERSSON, JAKE PAUL E MIKE TYSON SE PREPARAM PARA LUTA NO RANGO BRABO #98",798255,48300,248,2024-11-12T16:09:10Z,PT1H2M15S,https://i.ytimg.com/vi/Da2OoLQJ96g/hqdefault.jpg
RANGO BRABO,78patt0SeLA,DEFANTE CONHECE A MÃO DE PEDRA DE ALEX POATAN - Rango Brabo #97,448044,33845,499,2024-11-05T16:05:50Z,PT59M,https://i.ytimg.com/vi/78patt0SeLA/hqdefault.jpg
RANGO BRABO,QpPwkQfwc9k,THIAGO VENTURA E OS PALHAÇOS LOUCOS NO HALLOWEEN - Rango Brabo #96,632591,34473,385,2024-10-29T16:15:40Z,PT1H7M35S,https://i.ytimg.com/vi/QpPwkQfwc9k/hqdefault.jpg
RANGO BRABO,2K-S2SFwZ5c,PAULINHO O LOKO FAZ ARROZ MALUCO NO RANGO BRABO - Rango Brabo #95,386637,29596,284,2024-10-22T15:56:36Z,PT53M50S,https://i.ytimg.com/vi/2K-S2SFwZ5c/hqdefault.jpg
RANGO BRABO,h9bTXdkWFWc,NINGUÉM SE ENTENDEU NESSE EPISÓDIO - Rango Brabo #94,293901,22785,348,2024-10-15T15:55:31Z,PT51M51S,https://i.ytimg.com/vi/h9bTXdkWFWc/hqdefault.jpg
RANGO BRABO,t6lkinEQd7k,EM PRIMEIRA MÃO: DI FERRERO DO NXZERO SE DESENTENDE COM MEMPHIS DEPAY!!! - Rango Brabo #93,264284,17942,342,2024-10-08T15:57:31Z,PT54M35S,https://i.ytimg.com/vi/t6lkinEQd7k/hqdefault.jpg
RANGO BRABO,-V6NfmZ_b4s,BRINO DEIXA DEFANTE E PRODUÇÃO PASSANDO MAL COM SURPRESINHA - Rango Brabo #92,1448669,89831,1273,2024-10-01T16:17:08Z,PT1H11M35S,https://i.ytimg.com/vi/-V6NfmZ_b4s/hqdefault.jpg
RANGO BRABO,JjIdQvqmQkY,THIAGO SEM T CAUSA CONSTRANGIMENTO MÁXIMO NO RANGO BRABO - Rango Brabo #91,501374,32464,446,2024-09-24T15:58:40Z,PT54M11S,https://i.ytimg.com/vi/JjIdQvqmQkY/hqdefault.jpg
RANGO BRABO,tNp8eu0ebX0,CELA LOPES É PERSONAGEM OU ODEIA POBRE MESMO? - Rango Brabo #90,393166,23586,268,2024-09-17T15:58:50Z,PT56M5S,https://i.ytimg.com/vi/tNp8eu0ebX0/hqdefault.jpg
RANGO BRABO,CcrCt7V55eE,2 REAIS OU UM PRESENTE MISTERIOSO DA MARTINA??? - Rango Brabo #89,551493,39898,291,2024-09-10T15:55:32Z,PT53M35S,https://i.ytimg.com/vi/CcrCt7V55eE/hqdefault.jpg
RANGO BRABO,YeoYA7m1KU8,LAURA BRITO MANDA RECADO DIRETO PARA EX - Rango Brabo #88,135864,8260,148,2024-09-03T16:00:52Z,PT55M51S,https://i.ytimg.com/vi/YeoYA7m1KU8/hqdefault.jpg
RANGO BRABO,2wcEXEPYhrA,SUPLA SALVA O ROCK BRASILEIRO ENQUANTO FAZ PIZZA - Rango Brabo #87,325531,22788,293,2024-08-27T15:56:10Z,PT55M26S,https://i.ytimg.com/vi/2wcEXEPYhrA/hqdefault.jpg
RANGO BRABO,GR3QLVn7pSg,O REENCONTRO DE DIOGO DEFANTE E CLARICE FALCÃO - Rango Brabo #86,248324,15113,186,2024-08-20T15:55:54Z,PT53M,https://i.ytimg.com/vi/GR3QLVn7pSg/hqdefault.jpg
RANGO BRABO,Scc_BQjjW5I,NABOTE E A BERINJELA EM FORMA DE XEREULA - Rango Brabo #85,501452,31179,246,2024-08-13T15:58:03Z,PT53M,https://i.ytimg.com/vi/Scc_BQjjW5I/hqdefault.jpg
RANGO BRABO,a_KruhHd_yo,MAUMAU FAZ BOLO DE COCO FITNESS - Rango Brabo #84,848860,46279,418,2024-08-06T16:07:23Z,PT1H2M35S,https://i.ytimg.com/vi/a_KruhHd_yo/hqdefault.jpg
RANGO BRABO,KxuYKYjFGvc,COZINHANDO BOBORGES DE CAMARÃO - Rango Brabo #83,432919,23409,160,2024-07-30T15:49:42Z,PT40M41S,https://i.ytimg.com/vi/KxuYKYjFGvc/hqdefault.jpg
RANGO BRABO,wGc9cqQj2GI,TONINHO TORNADO ALÉM DO CALABRESO - Rango Brabo #82,377333,20427,173,2024-07-23T15:54:35Z,PT50M36S,https://i.ytimg.com/vi/wGc9cqQj2GI/hqdefault.jpg
